Target (Gene),Action Type,Action,Drug Name,Specific Disease,num_drugs,num_diseases,Broad Category,maxClinicalStage,immune_indication
RAF1,INHIBITOR,Discoidin domain-containing receptor 2 inhibitor; Ephrin type-A receptor 2 inhibitor; Fibroblast growth factor receptor 2 inhibitor; MAP kinase p38 beta inhibitor; Platelet-derived growth factor receptor inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Nerve growth factor receptor Trk-A inhibitor; Serine/threonine-protein kinase RAF inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase FRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; RAF serine/threonine protein kinase inhibitor; Serine/threonine-protein kinase RAF inhibitor; Platelet-derived growth factor receptor beta inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor,REGORAFENIB; SORAFENIB; SORAFENIB TOSYLATE; TOVORAFENIB,"B-cell chronic lymphocytic leukemia; Langerhans cell histiocytosis; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute promyelocytic leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; hairy cell leukemia; mixed phenotype acute leukemia; myeloid leukemia; myeloproliferative neoplasm; plasma cell myeloma; thymic carcinoma; thymoma; type 1 diabetes mellitus",4,15,immune system disorder,APPROVAL,1
PIK3CD,INHIBITOR,Casein kinase I epsilon inhibitor; PI3-kinase p110-delta subunit inhibitor; Tyrosine-protein kinase ABL inhibitor; PI3-kinase p110-alpha subunit inhibitor; PI3-kinase p110-delta subunit inhibitor; PI3-kinase p110-delta subunit inhibitor; PI3-kinase p110-gamma subunit inhibitor; PI3-kinase p110-delta subunit inhibitor,COPANLISIB; COPANLISIB HYDROCHLORIDE; DUVELISIB; DUVELISIB MONOHYDRATE; IDELALISIB; LENIOLISIB; LENIOLISIB PHOSPHATE; PARSACLISIB; UMBRALISIB; UMBRALISIB TOSYLATE,"B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Sjogren syndrome; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute myeloid leukemia; adult T-cell leukemia/lymphoma; allergic rhinitis; autoimmune hemolytic anemia; autoimmune lymphoproliferative syndrome; chronic myelogenous leukemia, BCR-ABL1 positive; common variable immunodeficiency; diffuse large B-cell lymphoma; follicular lymphoma; high grade B-cell lymphoma; inborn error of immunity; indolent B-cell non-Hodgkin lymphoma; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; neoplasm of mature B-cells; pemphigus vulgaris; plasma cell myeloma; primary central nervous system lymphoma; primary myelofibrosis; rheumatoid arthritis",10,29,immune system disorder,APPROVAL,1
TYK2,INHIBITOR,Janus Kinase (JAK) inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK1 inhibitor,DELGOCITINIB; FILGOTINIB; FILGOTINIB MALEATE; RUXOLITINIB; TOFACITINIB; TOFACITINIB CITRATE; UPADACITINIB; UPADACITINIB HEMIHYDRATE,"Aicardi-Goutieres syndrome; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; Sjogren syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell large granular lymphocyte leukemia; T-cell prolymphocytic leukemia; acquired polycythemia vera; acute graft versus host disease; acute myeloid leukemia; adult T-cell leukemia/lymphoma; ankylosing spondylitis; atopic eczema; atypical chronic myeloid leukemia, BCR-ABL1 negative; autoimmune disease; autoimmune polyendocrine syndrome type 1; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic granulomatous disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cutaneous lupus erythematosus; diffuse large B-cell lymphoma; discoid lupus erythematosus; essential thrombocythemia; graft versus host disease; granulomatosis with polyangiitis; hand eczema; hemophagocytic syndrome; hypereosinophilic syndrome; immunoglobulin G4-related sclerosing disease; inflammatory bowel disease; juvenile myelomonocytic leukemia; macrophage activation syndrome; myasthenia gravis; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloproliferative neoplasm; palmoplantar pustulosis; plasma cell myeloma; polycythemia; precursor B-cell acute lymphoblastic leukemia; primary myelofibrosis; psoriasis; psoriasis vulgaris; psoriasis-related juvenile idiopathic arthritis; psoriatic arthritis; rheumatoid arthritis; spondyloarthropathy; systemic lupus erythematosus; systemic sclerosis; ulcerative colitis; vitiligo",8,58,immune system disorder,APPROVAL,1
TYK2,NEGATIVE ALLOSTERIC MODULATOR,Tyrosine-protein kinase TYK2 negative allosteric modulator,DEUCRAVACITINIB,Crohn disease; Sjogren syndrome; atopic eczema; discoid lupus erythematosus; generalized pustular psoriasis; palmoplantar pustulosis; psoriasis; psoriasis vulgaris; psoriasis-related juvenile idiopathic arthritis; psoriatic arthritis; pustular psoriasis; systemic lupus erythematosus; ulcerative colitis; vitiligo,1,14,immune system disorder,APPROVAL,1
IL2RG,INHIBITOR,Interleukin-2 receptor inhibitor,BASILIXIMAB; DACLIZUMAB,"acute graft versus host disease; acute myeloid leukemia; adult T-cell leukemia/lymphoma; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; graft versus host disease; granulomatosis with polyangiitis; immune system disorder; multiple sclerosis; plasma cell myeloma; psoriasis vulgaris; relapsing-remitting multiple sclerosis; type 1 diabetes mellitus; ulcerative colitis",2,15,immune system disorder,APPROVAL,1
IL2RG,AGONIST,Interleukin-15 receptor agonist; Interleukin-2 receptor agonist,ALDESLEUKIN; NOGAPENDEKIN ALFA INBAKICEPT,"AIDS; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; Henoch-Schoenlein purpura; Sjogren syndrome; T-cell acute lymphoblastic leukemia; Wiskott-Aldrich syndrome; acute graft versus host disease; acute myeloid leukemia; allergic rhinitis; ankylosing spondylitis; autoimmune encephalitis; autoimmune hepatitis; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; common variable immunodeficiency; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; granulomatosis with polyangiitis; indolent B-cell non-Hodgkin lymphoma; juvenile myelomonocytic leukemia; lymphopenia; macrophage activation syndrome; mantle cell lymphoma; multiple sclerosis; myeloid leukemia; myeloproliferative neoplasm; neoplasm of mature B-cells; pemphigus vulgaris; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary progressive multiple sclerosis; psoriasis; rheumatoid arthritis; secondary progressive multiple sclerosis; systemic lupus erythematosus; type 1 diabetes mellitus; ulcerative colitis",2,42,immune system disorder,APPROVAL,1
IL2RG,BINDING AGENT; INHIBITOR,Interleukin-2 receptor binding agent; Elongation factor 2 inhibitor,DENILEUKIN DIFTITOX,B-cell chronic lymphocytic leukemia; acute graft versus host disease; acute myeloid leukemia; adult T-cell leukemia/lymphoma; diffuse large B-cell lymphoma; follicular lymphoma; systemic mastocytosis,1,7,immune system disorder,APPROVAL,1
FLT3,INHIBITOR,Activin receptor type-1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Interleukin-1 receptor-associated kinase 1 inhibitor; Activin receptor type-1 inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Interleukin-1 receptor-associated kinase 1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Macrophage colony stimulating factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Macrophage colony stimulating factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Nerve growth factor receptor Trk-A inhibitor; Neurotrophic tyrosine kinase receptor type 2 inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; NT-3 growth factor receptor inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Serine/threonine-protein kinase RAF inhibitor; Platelet-derived growth factor receptor beta inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor UFO inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Platelet-derived growth factor receptor inhibitor; Protein kinase C (PKC) inhibitor; Stem cell growth factor receptor inhibitor; Vascular endothelial growth factor receptor inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor,FEDRATINIB; FEDRATINIB HYDROCHLORIDE; GILTERITINIB; GILTERITINIB FUMARATE; LESTAURTINIB; MIDOSTAURIN; PACRITINIB; PACRITINIB CITRATE; PEXIDARTINIB; QUIZARTINIB; QUIZARTINIB DIHYDROCHLORIDE; SORAFENIB; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE,"B-cell chronic lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; aggressive systemic mastocytosis; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; chronic neutrophilic leukemia; diffuse large B-cell lymphoma; essential thrombocythemia; follicular lymphoma; juvenile myelomonocytic leukemia; lymphoplasmacytic lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; mast cell leukemia; mast cell sarcoma; mastocytosis; mixed phenotype acute leukemia; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloid leukemia; myeloid sarcoma; myeloproliferative neoplasm; plasma cell myeloma; primary myelofibrosis; psoriasis; psoriasis vulgaris; rheumatoid arthritis; systemic mastocytosis; systemic mastocytosis with an associated clonal hematologic non-mast cell lineage disease; thymic carcinoma; thymoma; type 1 diabetes mellitus",15,40,immune system disorder,APPROVAL,1
ADAMTS13,EXOGENOUS PROTEIN,A disintegrin and metalloproteinase with thrombospondin motifs 13 exogenous protein,APADAMTASE ALFA,congenital thrombotic thrombocytopenic purpura; thrombotic thrombocytopenic purpura,1,2,immune system disorder,APPROVAL,1
CTLA4,INHIBITOR,Cytotoxic T-lymphocyte protein 4 inhibitor,IPILIMUMAB; TREMELIMUMAB,"B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; acute myeloid leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; diffuse large B-cell lymphoma; follicular lymphoma; mantle cell lymphoma; mixed phenotype acute leukemia; myelofibrosis; myeloid leukemia; myeloproliferative neoplasm; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia",2,14,immune system disorder,APPROVAL,1
ITGB2,INHIBITOR,Integrin alpha-L/beta-2 (LFA-1) inhibitor,EFALIZUMAB,Sjogren syndrome; atopic eczema; discoid lupus erythematosus; graft versus host disease; psoriasis; psoriasis vulgaris; psoriatic arthritis; rheumatoid arthritis; type 1 diabetes mellitus,1,9,immune system disorder,APPROVAL,1
ITGB2,ANTAGONIST,Integrin alpha-L/beta-2 (LFA-1) antagonist,LIFITEGRAST,atopic conjunctivitis,1,1,immune system disorder,APPROVAL,1
MPL,AGONIST,Thrombopoietin receptor agonist,AVATROMBOPAG; ELTROMBOPAG; ELTROMBOPAG CHOLINE; ELTROMBOPAG OLAMINE; LUSUTROMBOPAG; ROMIPLOSTIM,B-cell chronic lymphocytic leukemia; Fanconi anemia; Wiskott-Aldrich syndrome; acute graft vs. host disease; acute myeloid leukemia; autoimmune thrombocytopenic purpura; chronic granulomatous disease; chronic myelomonocytic leukemia; follicular lymphoma; mantle cell lymphoma; neoplasm of mature B-cells; neutropenia; plasma cell myeloma; thrombocytopenic purpura,6,14,immune system disorder,APPROVAL,1
IL2RA,BINDING AGENT; INHIBITOR,Interleukin-2 receptor binding agent; Elongation factor 2 inhibitor,DENILEUKIN DIFTITOX,B-cell chronic lymphocytic leukemia; acute graft versus host disease; acute myeloid leukemia; adult T-cell leukemia/lymphoma; diffuse large B-cell lymphoma; follicular lymphoma; systemic mastocytosis,1,7,immune system disorder,APPROVAL,1
IL2RA,INHIBITOR,Interleukin-2 receptor inhibitor,BASILIXIMAB; DACLIZUMAB,"acute graft versus host disease; acute myeloid leukemia; adult T-cell leukemia/lymphoma; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; graft versus host disease; granulomatosis with polyangiitis; immune system disorder; multiple sclerosis; plasma cell myeloma; psoriasis vulgaris; relapsing-remitting multiple sclerosis; type 1 diabetes mellitus; ulcerative colitis",2,15,immune system disorder,APPROVAL,1
IL2RA,AGONIST,Interleukin-2 receptor agonist,ALDESLEUKIN,"AIDS; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; Henoch-Schoenlein purpura; Sjogren syndrome; T-cell acute lymphoblastic leukemia; Wiskott-Aldrich syndrome; acute graft versus host disease; acute myeloid leukemia; allergic rhinitis; ankylosing spondylitis; autoimmune encephalitis; autoimmune hepatitis; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; common variable immunodeficiency; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; granulomatosis with polyangiitis; indolent B-cell non-Hodgkin lymphoma; juvenile myelomonocytic leukemia; lymphopenia; macrophage activation syndrome; mantle cell lymphoma; multiple sclerosis; myeloid leukemia; myeloproliferative neoplasm; neoplasm of mature B-cells; pemphigus vulgaris; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary progressive multiple sclerosis; psoriasis; rheumatoid arthritis; secondary progressive multiple sclerosis; systemic lupus erythematosus; type 1 diabetes mellitus; ulcerative colitis",1,42,immune system disorder,APPROVAL,1
CD3D,BINDING AGENT,B-lymphocyte antigen CD20 binding agent; T cell surface glycoprotein CD3 binding agent; G-protein coupled receptor family C group 5 member D binding agent; T cell surface glycoprotein CD3 binding agent; T cell surface glycoprotein CD3 binding agent; Tumor necrosis factor receptor superfamily member 17 binding agent,ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; ODRONEXTAMAB; TALQUETAMAB; TECLISTAMAB,B-cell acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Waldenstrom macroglobulinemia; acute myeloid leukemia by FAB classification; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; follicular lymphoma; high grade B-cell lymphoma; mantle cell lymphoma; marginal zone lymphoma; myasthenia gravis; neoplasm of mature B-cells; nodal marginal zone B-cell lymphoma; plasma cell leukemia; plasma cell myeloma; primary central nervous system lymphoma; smoldering plasma cell myeloma; splenic marginal zone lymphoma; systemic lupus erythematosus,7,21,immune system disorder,APPROVAL,1
CD3D,INHIBITOR,T cell surface glycoprotein CD3 inhibitor,MUROMONAB-CD3,"B-cell chronic lymphocytic leukemia; acute myeloid leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; graft versus host disease; plasma cell myeloma; ulcerative colitis",1,6,immune system disorder,APPROVAL,1
CD3D,CROSS-LINKING AGENT,B-lymphocyte antigen CD19 cross-linking agent; T cell surface glycoprotein CD3 cross-linking agent,BLINATUMOMAB,"B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; acute leukemia of ambiguous lineage; acute myeloid leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; diffuse large B-cell lymphoma; mixed phenotype acute leukemia; myasthenia gravis; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; rheumatoid arthritis; systemic lupus erythematosus",1,16,immune system disorder,APPROVAL,1
TLR7,ANTAGONIST,Toll-like receptor 7 antagonist; Toll-like receptor 9 antagonist,HYDROXYCHLOROQUINE; HYDROXYCHLOROQUINE SULFATE,"B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; Hashimoto thyroiditis; Sjogren syndrome; acute myeloid leukemia; ankylosing spondylitis; antiphospholipid syndrome; autoimmune thrombocytopenic purpura; chronic myelogenous leukemia, BCR-ABL1 positive; cutaneous lupus erythematosus; cutaneous mastocytosis; graft versus host disease; mastocytosis; multiple sclerosis; plasma cell myeloma; rheumatoid arthritis; systemic lupus erythematosus; systemic mastocytosis; ulcerative colitis",2,20,immune system disorder,APPROVAL,1
TLR7,AGONIST,Toll-like receptor 7 agonist,IMIQUIMOD,B-cell chronic lymphocytic leukemia; chronic cutaneous lupus erythematosus; cutaneous lupus erythematosus; localized scleroderma; psoriasis,1,5,immune system disorder,APPROVAL,1
CD79B,INHIBITOR; BINDING AGENT,Tubulin inhibitor; B-cell antigen receptor complex-associated protein beta chain binding agent,POLATUZUMAB VEDOTIN,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; follicular lymphoma; high grade B-cell lymphoma; mantle cell lymphoma; marginal zone lymphoma,1,9,immune system disorder,APPROVAL,1
ABL1,INHIBITOR,Bcr/Abl fusion protein inhibitor; Bcr/Abl fusion protein inhibitor; Ephrin type-A receptor 2 inhibitor; Platelet-derived growth factor receptor beta inhibitor; SRC inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ABL inhibitor; Bcr/Abl fusion protein inhibitor; Stem cell growth factor receptor inhibitor; Platelet-derived growth factor receptor beta inhibitor; Tyrosine-protein kinase ABL inhibitor; Bcr/Abl fusion protein inhibitor; Tyrosine-protein kinase ABL inhibitor; Bcr/Abl fusion protein inhibitor; Tyrosine-protein kinase HCK inhibitor; Tyrosine-protein kinase Lyn inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase ABL inhibitor; Casein kinase I epsilon inhibitor; PI3-kinase p110-delta subunit inhibitor; Tyrosine-protein kinase ABL inhibitor; Discoidin domain-containing receptor 2 inhibitor; Ephrin type-A receptor 2 inhibitor; Fibroblast growth factor receptor 2 inhibitor; MAP kinase p38 beta inhibitor; Platelet-derived growth factor receptor inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Nerve growth factor receptor Trk-A inhibitor; Serine/threonine-protein kinase RAF inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase FRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Tyrosine-protein kinase ABL inhibitor; Bcr/Abl fusion protein inhibitor,ASCIMINIB; ASCIMINIB HYDROCHLORIDE; BOSUTINIB; BOSUTINIB MONOHYDRATE; DASATINIB; DASATINIB ANHYDROUS; IMATINIB; IMATINIB MESYLATE; NILOTINIB; NILOTINIB HYDROCHLORIDE MONOHYDRATE; PONATINIB; PONATINIB HYDROCHLORIDE; REGORAFENIB; UMBRALISIB; UMBRALISIB TOSYLATE,"B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute leukemia of ambiguous lineage; acute myeloid leukemia; acute promyelocytic leukemia; atypical chronic myeloid leukemia, BCR-ABL1 negative; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; core binding factor acute myeloid leukemia; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; hypereosinophilic syndrome; idiopathic hypereosinophilic syndrome; juvenile myelomonocytic leukemia; mantle cell lymphoma; marginal zone lymphoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myelofibrosis with myeloid metaplasia; myeloid leukemia; myeloproliferative neoplasm; neoplasm of mature B-cells; palmoplantar pustulosis; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary myelofibrosis; rheumatoid arthritis; scleroderma; seasonal allergic rhinitis; systemic mastocytosis; systemic sclerosis; thymic carcinoma; thymoma; type 1 diabetes mellitus",15,47,immune system disorder,APPROVAL,1
CD3G,BINDING AGENT,B-lymphocyte antigen CD20 binding agent; T cell surface glycoprotein CD3 binding agent; G-protein coupled receptor family C group 5 member D binding agent; T cell surface glycoprotein CD3 binding agent; T cell surface glycoprotein CD3 binding agent; Tumor necrosis factor receptor superfamily member 17 binding agent,ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; ODRONEXTAMAB; TALQUETAMAB; TECLISTAMAB,B-cell acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Waldenstrom macroglobulinemia; acute myeloid leukemia by FAB classification; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; follicular lymphoma; high grade B-cell lymphoma; mantle cell lymphoma; marginal zone lymphoma; myasthenia gravis; neoplasm of mature B-cells; nodal marginal zone B-cell lymphoma; plasma cell leukemia; plasma cell myeloma; primary central nervous system lymphoma; smoldering plasma cell myeloma; splenic marginal zone lymphoma; systemic lupus erythematosus,7,21,immune system disorder,APPROVAL,1
CD3G,CROSS-LINKING AGENT,B-lymphocyte antigen CD19 cross-linking agent; T cell surface glycoprotein CD3 cross-linking agent,BLINATUMOMAB,"B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; acute leukemia of ambiguous lineage; acute myeloid leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; diffuse large B-cell lymphoma; mixed phenotype acute leukemia; myasthenia gravis; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; rheumatoid arthritis; systemic lupus erythematosus",1,16,immune system disorder,APPROVAL,1
CD3G,INHIBITOR,T cell surface glycoprotein CD3 inhibitor,MUROMONAB-CD3,"B-cell chronic lymphocytic leukemia; acute myeloid leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; graft versus host disease; plasma cell myeloma; ulcerative colitis",1,6,immune system disorder,APPROVAL,1
IL17RA,ANTAGONIST,Interleukin-17 receptor A antagonist,BRODALUMAB,Crohn disease; ankylosing spondylitis; immune system disorder; palmoplantar pustulosis; psoriasis; psoriasis vulgaris; psoriatic arthritis; pustular psoriasis; rheumatoid arthritis; systemic sclerosis,1,10,immune system disorder,APPROVAL,1
