gene,kNN_max_score,nearest_approved_target,approved_drugs_targeting_nearest_gene,is_approved_target,n_downstream_z3,culture_condition
H2AJ,0.4580001831054687,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,165,Stim48hr
COQ10B,0.457562655210495,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,118,Stim48hr
DOT1L,0.4574557244777679,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,363,Stim48hr
STX16,0.4569145739078522,PSMB9,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,False,403,Stim48hr
LAMTOR2,0.4565707743167877,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1201,Stim48hr
ZNF160,0.4564874768257141,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,106,Stim48hr
BCS1L,0.4555725455284118,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,825,Stim48hr
CHTF18,0.4550956189632416,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,503,Stim48hr
RNF19B,0.4549456238746643,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,179,Stim48hr
EXT1,0.4532625675201416,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,83,Stim48hr
STRIP2,0.4526182115077972,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,85,Stim48hr
NOA1,0.4523123502731323,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,137,Stim48hr
N4BP3,0.451994776725769,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,141,Stim48hr
NR1H2,0.4517496228218078,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,86,Stim48hr
FAM98B,0.4511790871620178,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,792,Stim48hr
G6PC3,0.4510826468467712,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,87,Stim48hr
TEFM,0.4509223401546478,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,158,Stim48hr
CRLS1,0.4504964053630829,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,493,Stim48hr
ATAD3A,0.449946254491806,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,427,Stim48hr
ZSCAN32,0.4496328234672546,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,116,Stim48hr
MED12,0.4491239190101623,PSMB9,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,False,1277,Stim48hr
TM2D1,0.4487619996070862,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,593,Stim48hr
OTUD7B,0.4483821392059326,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,81,Stim48hr
VEZT,0.4480423927307129,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,261,Stim48hr
LCP1,0.4474870562553406,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,112,Stim48hr
NRBP1,0.4467821419239044,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,449,Stim48hr
CTSO,0.446740984916687,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,180,Stim48hr
STAT5B,0.4465154409408569,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,656,Stim48hr
ROBO3,0.4462893903255462,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,135,Stim48hr
ARHGAP30,0.446068674325943,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,740,Stim48hr
NDUFS2,0.4460674524307251,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,169,Stim48hr
FAM161B,0.4459967017173767,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,202,Stim48hr
NADK2,0.4459363222122192,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,175,Stim48hr
RUFY1,0.4450856447219848,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,119,Stim48hr
SYNJ1,0.4450395107269287,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,60,Stim48hr
METTL1,0.4449855089187622,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,733,Stim48hr
VARS2,0.4449539184570312,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,664,Stim48hr
CYB5R4,0.4444696307182312,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,633,Stim48hr
COLGALT1,0.4439759254455566,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,257,Stim48hr
CUL4A,0.44390469789505,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,True,156,Stim48hr
RRAGA,0.4430356919765472,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,961,Stim48hr
STYXL1,0.442897766828537,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,392,Stim48hr
MYO9A,0.4426127076148987,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,357,Stim48hr
STARD5,0.4417056441307068,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,68,Stim48hr
GCFC2,0.4403740167617798,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,112,Stim48hr
PRKCQ,0.4403691291809082,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,True,187,Stim48hr
TIMMDC1,0.439208835363388,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,186,Stim48hr
HMBS,0.4387908577919006,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,448,Stim48hr
TENT2,0.4382152259349823,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,162,Stim48hr
RAB21,0.4381856918334961,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,188,Stim48hr
AIFM1,0.4381260871887207,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,598,Stim48hr
TNRC6A,0.4381152689456939,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,811,Stim48hr
TMEM44,0.4380226135253906,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,171,Stim48hr
RNFT1,0.4376064836978912,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,194,Stim48hr
IFT172,0.4371878504753113,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,185,Stim48hr
RASAL3,0.4371316134929657,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,486,Stim48hr
KIF14,0.4368149638175964,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,137,Stim48hr
FNDC3B,0.4365691840648651,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,70,Stim48hr
FCHO1,0.4362665116786957,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,227,Stim48hr
XRRA1,0.4360705912113189,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,129,Stim48hr
ADPRM,0.4357590973377228,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,345,Stim48hr
EARS2,0.4355954527854919,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,318,Stim48hr
ALG8,0.4354022145271301,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,435,Stim48hr
TSPYL2,0.4351808130741119,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,92,Stim48hr
TARS2,0.4350801408290863,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,504,Stim48hr
DMAC2,0.4350301027297973,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,75,Stim48hr
MTERF3,0.4348917007446289,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,335,Stim48hr
NIPBL,0.4348682165145874,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,379,Stim48hr
COG6,0.4346605837345123,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,438,Stim48hr
ITPR1,0.4345148503780365,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,230,Stim48hr
SLC25A26,0.4344253540039062,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,238,Stim48hr
RXRB,0.4343809783458709,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",True,311,Stim48hr
INSR,0.4343809783458709,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,True,310,Stim48hr
FN3K,0.4341497719287872,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,201,Stim48hr
RAD50,0.4338734745979309,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,489,Stim48hr
TFB2M,0.4336696565151214,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,76,Stim48hr
CCNC,0.4324944913387298,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,False,2383,Stim48hr
ELOF1,0.4322142302989959,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,2536,Stim48hr
MTRF1L,0.4321343302726745,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,116,Stim48hr
CATSPERG,0.432124525308609,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,244,Stim48hr
RPE,0.4318901598453522,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,284,Stim48hr
PFKM,0.4311908185482025,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,63,Stim48hr
DAPK2,0.4309916198253631,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,260,Stim48hr
UBR4,0.4302338063716888,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,355,Stim48hr
FTL,0.4299505352973938,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,21,Stim48hr
HCCS,0.4298222064971924,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,764,Stim48hr
WWP2,0.4294146299362182,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,62,Stim48hr
LRRC8A,0.4292494058609009,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,347,Stim48hr
TBRG1,0.4287643730640411,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,146,Stim48hr
STAT4,0.4286440908908844,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,48,Stim48hr
AUP1,0.4282235503196716,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,211,Stim48hr
DDX60L,0.4279505014419555,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,136,Stim48hr
SHOC2,0.4274654984474182,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,435,Stim48hr
TMEM126A,0.4255061447620392,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,62,Stim48hr
AIP,0.4254889190196991,AHR,TAPINAROF,False,265,Stim48hr
BRK1,0.4252907335758209,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,325,Stim48hr
TBX21,0.4250361323356628,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,340,Stim48hr
TUFM,0.4247182607650757,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,361,Stim48hr
ERCC4,0.4245428740978241,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,663,Stim48hr
CYB5R1,0.4244240522384643,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,44,Stim48hr
NSUN6,0.4243520498275757,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,252,Stim48hr
ZNF142,0.4241238236427307,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,224,Stim48hr
NR4A3,0.4236993491649627,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,303,Stim48hr
CEP89,0.4236888587474823,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,174,Stim48hr
C11orf54,0.422999769449234,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,463,Stim48hr
IL4I1,0.4229165613651275,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,284,Stim48hr
SUGT1,0.4223815500736236,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,276,Stim48hr
APOBR,0.4221859872341156,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,35,Stim48hr
PARP14,0.4221493005752563,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,189,Stim48hr
DDT,0.4221437573432922,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,61,Stim48hr
ACTR2,0.4217868745326996,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,656,Stim48hr
BCDIN3D,0.4216763079166412,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,137,Stim48hr
DEPDC1,0.4216693341732025,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,54,Stim48hr
ZNF785,0.4215733706951141,PRKCA,MIDOSTAURIN,False,203,Stim48hr
ACOT7,0.4211647808551788,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,541,Stim48hr
PSMD10,0.4210130274295807,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,57,Stim48hr
ZNF837,0.420830100774765,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,484,Stim48hr
SERGEF,0.4207811057567596,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,207,Stim48hr
KMT2E,0.4207535982131958,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,510,Stim48hr
C1QBP,0.4204447567462921,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,52,Stim48hr
MTFMT,0.4203447997570038,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,95,Stim48hr
ZFAND2A,0.4201709628105163,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,24,Stim48hr
DHX36,0.4199438095092773,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1350,Stim48hr
BACH2,0.4198974967002868,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,64,Stim48hr
PRORP,0.4197434186935425,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,151,Stim48hr
MIGA2,0.4192480742931366,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,149,Stim48hr
PSMB9,0.4191547632217407,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,True,203,Stim48hr
RELCH,0.4191294014453888,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,80,Stim48hr
TESK2,0.4190537333488464,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,171,Stim48hr
SLC25A51,0.4186115562915802,NDUFB4,METFORMIN; METFORMIN HYDROCHLORIDE,False,159,Stim48hr
ADCY4,0.4185652136802673,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,209,Stim48hr
ATPAF1,0.4184983968734741,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,107,Stim48hr
DCAF5,0.4184766113758087,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,211,Stim48hr
GDAP2,0.4183408617973327,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,645,Stim48hr
C1D,0.4182054400444031,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,578,Stim48hr
PNPT1,0.4181472659111023,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,638,Stim48hr
NDUFA3,0.417837530374527,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,117,Stim48hr
SOCS4,0.4177697002887726,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,277,Stim48hr
TAF6L,0.4168468713760376,PSMB9,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,False,2091,Stim48hr
PRKRA,0.4162361323833465,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,166,Stim48hr
RNF8,0.4161136448383331,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,260,Stim48hr
EFHD2,0.4159829020500183,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,152,Stim48hr
YIPF3,0.4155980348587036,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,169,Stim48hr
AASS,0.4153438806533813,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,121,Stim48hr
DYNC2LI1,0.4152455329895019,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,64,Stim48hr
USF1,0.4151854217052459,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,71,Stim48hr
DPH6,0.4151226282119751,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,437,Stim48hr
