gene,rest_coef_beta,rest_se_beta,rest_signed_log10p,stim8hr_coef_beta,stim8hr_se_beta,stim8hr_signed_log10p,stim48hr_coef_beta,stim48hr_se_beta,stim48hr_signed_log10p
DNAJC8,-0.0007943304445073,0.009549770930932,-0.029787257371304,-0.0103220128779874,0.0094960822925951,-0.5574083901487811,-0.0062879805763639,0.0095552267273202,-0.2919966157354796
DNAJC9,-0.0035268164828799,0.0095534567381226,-0.1475134117979741,0.0060736393613784,0.0094974235370099,0.2819066065065345,0.0008618165739094,0.0095556044824382,0.0323873618531466
DNAL1,-0.0080713386807989,0.0095505516362031,-0.4000472391824377,0.009343534135182,0.009496381483074,0.4878707028837594,0.0008928809750112,0.0095568321598059,0.0335931530055953
DNAL4,-0.007871376568138,0.009548916168343,-0.3874544751241154,0.0081396836856381,0.0094960281080827,0.4074111028610008,-0.0089991996424419,0.0095550056972915,-0.4605472388730231
DNASE1,-0.0023148222116579,0.0095544482614743,-0.0922822759222885,0.0076460021045581,0.0094961063679214,0.3759885706316894,0.0128517773196007,0.0095544696682293,0.748072208445144
DNASE1L1,0.0046898300884178,0.0095492110383361,0.2052680903162391,0.0222379777251991,0.009493998215456,1.717104037801061,0.0043710838346118,0.0095552016503349,0.1888591512121793
DNASE2,-0.0071449701641308,0.0095503319600293,-0.342568456848481,0.0118587295062709,0.0094958069520717,0.6741749297390227,0.004622609786603,0.0095593916973844,0.2015546638061662
DNHD1,-0.0010479061498171,0.0095490830984663,-0.0397107519494756,-0.0091186689995334,0.0094963285274697,-0.4724214635062446,-0.0060337141801588,0.0095579561237973,-0.2774705598773763
DNLZ,-0.0023308670368901,0.0095488936575161,-0.0930406673063754,-0.0056075813561816,0.009496169018879,-0.2558157573767714,-0.0026197287683442,0.0095552310751467,-0.1057052458244425
DNM1L,-0.0018024320486925,0.0095513909077866,-0.0704152856072366,0.0134979383454873,0.0094953752851348,0.8091310361403681,-0.009724467290783,0.0095569054955966,-0.51015027767711
DNM3,-0.003629474275104,0.0095489673936793,-0.1524979866407098,-0.0102739617629395,0.0094967031096647,-0.5538588575638602,0.0001175910229564,0.0095554215203768,0.0042851747323459
DNMBP,-0.0032044208446959,0.0095493209671383,-0.1324116209037293,0.0074127734123663,0.0094963042245754,0.3614536141686708,-0.00573477991924,0.0095562036219948,-0.2608669035995221
DNMT1,0.003876472749701,0.0095537973959258,0.1643520286926587,0.007291228557005,0.0094980033973022,0.353884314955146,0.000441593249028,0.0095553077936199,0.0163104987287271
DNMT3A,0.0063227282302298,0.009548720183569,0.2942335238823459,0.0050949151170293,0.0094965273180088,0.2279557812460599,0.0040422943969317,0.0095552919810785,0.1724545478764423
DNMT3B,0.0184720445163677,0.0095473906468306,1.2753637103370643,0.0099537233640269,0.0094979844778398,0.5306645468428877,0.0034262141183303,0.009555703343701,0.1427052436187919
DNPEP,-0.0060654472473371,0.0095508784944776,-0.2795114548184829,-0.0045173099889186,0.0094964192042592,-0.1976999142967836,-0.0100562248387034,0.0095552259184306,-0.5336887336289337
DNPH1,0.0109776272792884,0.00954905091063,0.6014829962134615,0.0143325269108376,0.0094959384059595,0.88192487525311,-0.0038105269186852,0.0095597372805554,-0.1610284371253197
DNTTIP1,0.0027579389160381,0.0095509544538695,0.1119496673376905,-0.0061814845596288,0.0094964646598852,-0.2881011495609079,0.0132232908210022,0.0095546575233701,0.7788510129545626
DNTTIP2,0.011547193030071,0.009550287773882,0.6446381304277171,-0.0040897911934818,0.0094969995283897,-0.1760445560674527,-0.0073943179862464,0.0095560022396819,-0.3574631064877691
DOCK10,0.004236737151586,0.0095532467152253,0.1821553427639519,0.0073308588784986,0.0094965363372056,0.3563892271419717,0.0247996611453767,0.0095521409127626,2.0251333327963983
DOCK11,-0.0036225245553533,0.0095489897020267,-0.1521643518622189,0.0239077019442797,0.009494134432501,1.9277036963769592,0.0207278048392963,0.0095531755479756,1.5221697307456463
DOCK2,-0.0008853187871036,0.0095544181834531,-0.0333070135356896,0.020564733691779,0.0094970925759465,1.517401637678006,0.0207847385974478,0.0095548654135489,1.5282848684854071
DOCK3,-0.0018354413400832,0.0095501923711315,-0.0718101742109215,-0.0108511111470584,0.009497897003512,-0.5963964887411765,0.015439026833849,0.0095542304386091,0.974132306310184
DOCK5,-0.0098644394646644,0.0095484304552036,-0.520594138045263,-0.0096632909532226,0.0094964496968509,-0.5101745382183948,0.0047994336284721,0.0095554721703322,0.2107808849837888
DOCK7,-0.0108138305332544,0.0095507449928124,-0.5891310085439643,0.0001198375798465,0.0094989879303595,0.0043935295885293,-0.0005598958037301,0.0095569480307992,-0.0207778913030758
DOCK8,0.0060713548354917,0.0095488601102707,0.2799174134175865,0.0253102932532921,0.0094951969314393,2.113699892158308,0.033342410464241,0.0095521728974222,3.3152164924848613
DOCK9,0.0020758605342112,0.0095492768505391,0.0820152209587323,0.0262567416994557,0.0094940193486774,2.2447982169074527,0.0125883018453044,0.0095549759262404,0.7265074572051462
DOHH,-0.0158561799487914,0.0095481379302688,-1.0140738571573926,-0.0208218572462436,0.0094941759740165,-1.5479107558635217,-0.0050940868863937,0.0095551624277075,-0.2262437924022918
DOK1,0.0016872505680855,0.0095491876159397,0.065625381774721,-0.0055278095208208,0.0094977893620975,-0.2513687292296495,0.0083461270733301,0.0095549170584171,0.4174647828516922
DOK2,-0.0025310715387309,0.0095505855556126,-0.1018229226122832,0.0126753283209265,0.0094958941248029,0.740018510293849,0.0111059267505596,0.0095575224612204,0.6103778528644219
DOK3,-0.0134604500991858,0.0095486235605056,-0.7995201268167755,-0.0057184756593666,0.0094989595004826,-0.2618702329804316,0.0074507463940836,0.0095555541318146,0.3609448279995837
DOK4,0.0078335581397974,0.0095486441035693,0.3850868922389305,-0.0050675195076927,0.0094968860544806,-0.2264837924228691,0.0027137511531525,0.0095555556659043,0.1099044360222669
DOK5,-0.0043015016186252,0.0095490045531761,-0.1854970356926723,-0.0084270770237954,0.0095003002785218,-0.4258752230031384,-0.0062334814404446,0.0095570704314971,-0.2888158274725192
DOLK,-0.006022415859063,0.0095488518266479,-0.2771579651262314,-0.0044381264229842,0.0095015899294186,-0.193519785853856,0.005192854407827,0.0095553187942616,0.2314876891857547
DOLPP1,0.0050355480012333,0.0095496483250535,0.2233026470527469,-0.0066786540801176,0.0094972640985214,-0.3170120956942177,-0.007435502694115,0.0095553891050838,-0.3600167296789768
DONSON,-0.0009959317364116,0.0095500521560187,-0.0376568399757256,0.0050121973381938,0.0094961491393892,0.2235608168836964,0.0156833900019755,0.0095599889967158,0.9959999018703192
DOP1A,0.0033064030337102,0.0095493446649683,0.1371735361365589,0.0075726464614236,0.0094972785718595,0.3713397640915473,0.0242004982485531,0.0095543831837881,1.9459376667805095
DOP1B,0.0281009572692345,0.0095463087670835,2.48803862964938,0.0128199411366245,0.0094955385394809,0.7519990414115746,0.0166312588787394,0.0095558501695899,1.0871805157414445
DOT1L,0.013401397013248,0.0095551890968881,0.7937490718238697,0.0040552139436467,0.0094965468557289,0.1743316406734105,0.0148165087119219,0.0095553411175514,0.9171182550174116
DPCD,-0.0089426386981579,0.0095488597940972,-0.4571377544878237,0.00580889917717,0.0094965672215288,0.2669958691903429,-0.0244924079969156,0.0095524493989869,-1.984600861729856
DPEP2,0.0131312423760935,0.009548059014912,0.7719245297814589,0.0119555884507983,0.0094960472946725,0.6818225369228285,0.0173534771033977,0.0095537624802813,1.1590394468262952
DPF2,-0.0114541945872202,0.0095485733370383,-0.6376455433946131,-0.0068648541377478,0.0094961059758797,-0.3281341023411518,-0.0090811036265942,0.0095563550308351,-0.4659776945714002
DPF3,-0.0132972256799016,0.0095483628661433,-0.785782138314923,-0.0071615845807165,0.0094960064681096,-0.3460502722551954,-0.0096490639277571,0.0095552551859148,-0.5050036924970989
DPH1,0.0030991217565555,0.0095488172555504,0.1275385304848229,-0.0196804172595838,0.0094946345145687,-1.4177683564431722,0.0023535121314872,0.0095552457909212,0.0939612998824287
DPH2,-0.0084417072669782,0.0095487405353416,-0.4240265913330825,-0.0088318467282261,0.0094980532289349,-0.4528842991460843,0.0013530375344904,0.0095565568325125,0.0518743475472439
